Entity_1	Entity_2	Predicted_class
a12907309.s0.e1	a12907309.s0.e2	effect
a12907309.s0.e1	a12907309.s0.e4	effect
a12907309.s0.e0	a12907309.s0.e2	effect
a12907309.s0.e0	a12907309.s0.e4	no_relation
a12907309.s0.e3	a12907309.s0.e2	effect
a12907309.s0.e3	a12907309.s0.e4	no_relation
a12907309.s5.e0	a12907309.s5.e1	no_relation
a12907309.s8.e2	a12907309.s8.e3	no_relation
a12907309.s8.e0	a12907309.s8.e3	effect
a12907309.s8.e1	a12907309.s8.e3	effect
a2096243.s4.e0	a2096243.s4.e2	effect
a2096243.s4.e0	a2096243.s4.e1	effect
a2096243.s0.e0	a2096243.s0.e1	effect
a2096243.s1.e1	a2096243.s1.e0	effect
a2096243.s1.e1	a2096243.s1.e2	effect
a7468724.s0.e1	a7468724.s0.e0	effect
a7468724.s0.e2	a7468724.s0.e0	effect
a7468724.s1.e2	a7468724.s1.e0	effect
a7468724.s1.e1	a7468724.s1.e0	effect
a10739826.s0.e0	a10739826.s0.e1	effect
a10739826.s1.e4	a10739826.s1.e0	no_relation
a10739826.s1.e2	a10739826.s1.e0	no_relation
a10739826.s1.e1	a10739826.s1.e0	no_relation
a10739826.s1.e3	a10739826.s1.e0	effect
a9523805.s4.e2	a9523805.s4.e3	effect
a9523805.s4.e0	a9523805.s4.e3	effect
a9523805.s4.e1	a9523805.s4.e3	effect
a9523805.s0.e2	a9523805.s0.e0	no_relation
a9523805.s0.e1	a9523805.s0.e0	no_relation
a9523805.s0.e3	a9523805.s0.e0	no_relation
a9523805.s1.e2	a9523805.s1.e1	effect
a9523805.s1.e2	a9523805.s1.e0	effect
a9523805.s1.e3	a9523805.s1.e1	no_relation
a9523805.s1.e3	a9523805.s1.e0	no_relation
a9523805.s9.e0	a9523805.s9.e1	effect
a9523805.s9.e0	a9523805.s9.e4	no_relation
a9523805.s9.e3	a9523805.s9.e1	no_relation
a9523805.s9.e3	a9523805.s9.e4	no_relation
a9523805.s9.e2	a9523805.s9.e1	effect
a9523805.s9.e2	a9523805.s9.e4	no_relation
a9523805.s11.e1	a9523805.s11.e2	no_relation
