Entity_1	Entity_2	Predicted_class
DDI-MedLine.d182.s0.e0	DDI-MedLine.d182.s0.e0	no_relation
DDI-MedLine.d182.s0.e0	DDI-MedLine.d182.s0.e1	no_relation
DDI-MedLine.d182.s0.e0	DDI-MedLine.d182.s0.e1	no_relation
DDI-MedLine.d182.s0.e1	DDI-MedLine.d182.s0.e1	no_relation
DDI-MedLine.d182.s2.e1	DDI-MedLine.d182.s2.e1	no_relation
DDI-MedLine.d182.s2.e0	DDI-MedLine.d182.s2.e1	no_relation
DDI-MedLine.d182.s2.e0	DDI-MedLine.d182.s2.e1	no_relation
DDI-MedLine.d182.s2.e0	DDI-MedLine.d182.s2.e0	no_relation
DDI-MedLine.d182.s3.e1	DDI-MedLine.d182.s3.e1	no_relation
DDI-MedLine.d182.s3.e0	DDI-MedLine.d182.s3.e1	no_relation
DDI-MedLine.d182.s3.e0	DDI-MedLine.d182.s3.e1	no_relation
DDI-MedLine.d182.s3.e0	DDI-MedLine.d182.s3.e0	no_relation
DDI-MedLine.d182.s17.e1	DDI-MedLine.d182.s17.e1	no_relation
DDI-MedLine.d182.s17.e0	DDI-MedLine.d182.s17.e1	no_relation
DDI-MedLine.d182.s17.e0	DDI-MedLine.d182.s17.e1	no_relation
DDI-MedLine.d182.s17.e0	DDI-MedLine.d182.s17.e0	no_relation
DDI-MedLine.d182.s18.e0	DDI-MedLine.d182.s18.e0	no_relation
DDI-MedLine.d182.s18.e0	DDI-MedLine.d182.s18.e1	no_relation
DDI-MedLine.d182.s18.e0	DDI-MedLine.d182.s18.e1	no_relation
DDI-MedLine.d182.s18.e1	DDI-MedLine.d182.s18.e1	no_relation
DDI-MedLine.d182.s20.e1	DDI-MedLine.d182.s20.e1	no_relation
DDI-MedLine.d182.s20.e0	DDI-MedLine.d182.s20.e1	no_relation
DDI-MedLine.d182.s20.e0	DDI-MedLine.d182.s20.e1	no_relation
DDI-MedLine.d182.s20.e0	DDI-MedLine.d182.s20.e0	no_relation
DDI-MedLine.d182.s21.e1	DDI-MedLine.d182.s21.e1	no_relation
DDI-MedLine.d182.s21.e0	DDI-MedLine.d182.s21.e1	no_relation
DDI-MedLine.d182.s21.e0	DDI-MedLine.d182.s21.e1	no_relation
DDI-MedLine.d182.s21.e0	DDI-MedLine.d182.s21.e0	no_relation
DDI-MedLine.d182.s23.e0	DDI-MedLine.d182.s23.e0	no_relation
DDI-MedLine.d182.s23.e0	DDI-MedLine.d182.s23.e1	no_relation
DDI-MedLine.d182.s23.e0	DDI-MedLine.d182.s23.e1	no_relation
DDI-MedLine.d182.s23.e1	DDI-MedLine.d182.s23.e1	no_relation
DDI-DrugBank.d726.s1.e5	DDI-DrugBank.d726.s1.e5	no_relation
DDI-DrugBank.d726.s1.e5	DDI-DrugBank.d726.s1.e14	no_relation
DDI-DrugBank.d726.s1.e5	DDI-DrugBank.d726.s1.e6	no_relation
DDI-DrugBank.d726.s1.e1	DDI-DrugBank.d726.s1.e5	no_relation
DDI-DrugBank.d726.s1.e2	DDI-DrugBank.d726.s1.e5	no_relation
DDI-DrugBank.d726.s1.e5	DDI-DrugBank.d726.s1.e8	no_relation
DDI-DrugBank.d726.s1.e3	DDI-DrugBank.d726.s1.e5	no_relation
DDI-DrugBank.d726.s1.e5	DDI-DrugBank.d726.s1.e11	no_relation
DDI-DrugBank.d726.s1.e5	DDI-DrugBank.d726.s1.e7	no_relation
DDI-DrugBank.d726.s1.e5	DDI-DrugBank.d726.s1.e15	no_relation
DDI-DrugBank.d726.s1.e4	DDI-DrugBank.d726.s1.e5	effect
DDI-DrugBank.d726.s1.e0	DDI-DrugBank.d726.s1.e5	no_relation
DDI-DrugBank.d726.s1.e5	DDI-DrugBank.d726.s1.e12	no_relation
DDI-DrugBank.d726.s1.e5	DDI-DrugBank.d726.s1.e10	no_relation
DDI-DrugBank.d726.s1.e5	DDI-DrugBank.d726.s1.e13	no_relation
DDI-DrugBank.d726.s1.e5	DDI-DrugBank.d726.s1.e9	no_relation
