Entity_1	Entity_2	Predicted_class
s0.e2	s0.e1	no_relation
s2.e1	s2.e2	no_relation
s3.e2	s3.e1	effect
s4.e1	s4.e2	no_relation
s5.e2	s5.e1	effect
s6.e2	s6.e1	no_relation
s7.e1	s7.e2	no_relation
s8.e2	s8.e1	effect
s9.e2	s9.e1	no_relation
s10.e2	s10.e1	no_relation
s11.e2	s11.e1	no_relation
s12.e1	s12.e2	no_relation
s13.e2	s13.e1	no_relation
s14.e2	s14.e1	no_relation
s15.e1	s15.e2	no_relation
s16.e1	s16.e2	effect
s17.e2	s17.e1	no_relation
s18.e1	s18.e2	no_relation
s19.e2	s19.e1	no_relation
s20.e2	s20.e1	effect
s21.e2	s21.e1	effect
s22.e2	s22.e1	no_relation
s23.e1	s23.e2	effect
s24.e2	s24.e1	no_relation
s25.e2	s25.e1	effect
s26.e2	s26.e1	no_relation
s27.e2	s27.e1	effect
s28.e1	s28.e2	no_relation
s30.e1	s30.e2	effect
s31.e2	s31.e1	no_relation
s32.e2	s32.e1	effect
s33.e2	s33.e1	no_relation
s34.e2	s34.e1	effect
s35.e2	s35.e1	no_relation
s36.e2	s36.e1	no_relation
s37.e1	s37.e2	no_relation
s38.e2	s38.e1	no_relation
s39.e1	s39.e2	no_relation
s40.e2	s40.e1	no_relation
s41.e2	s41.e1	no_relation
s42.e2	s42.e1	effect
s43.e1	s43.e2	effect
s44.e2	s44.e1	no_relation
s45.e2	s45.e1	no_relation
s46.e1	s46.e2	no_relation
s47.e1	s47.e2	no_relation
s48.e2	s48.e1	no_relation
s49.e2	s49.e1	no_relation
s50.e1	s50.e2	no_relation
s51.e2	s51.e1	no_relation
s52.e1	s52.e2	no_relation
s53.e2	s53.e1	no_relation
s54.e2	s54.e1	no_relation
s55.e2	s55.e1	no_relation
s56.e1	s56.e2	no_relation
s57.e1	s57.e2	no_relation
s58.e1	s58.e2	no_relation
s59.e2	s59.e1	no_relation
s60.e2	s60.e1	no_relation
s61.e1	s61.e2	no_relation
s62.e2	s62.e1	no_relation
s63.e1	s63.e2	no_relation
s64.e1	s64.e2	no_relation
s65.e2	s65.e1	no_relation
s66.e2	s66.e1	no_relation
s67.e1	s67.e2	no_relation
s68.e2	s68.e1	no_relation
s69.e2	s69.e1	effect
s70.e2	s70.e1	no_relation
s71.e1	s71.e2	no_relation
s72.e2	s72.e1	no_relation
s73.e1	s73.e2	no_relation
s74.e1	s74.e2	no_relation
s75.e1	s75.e2	no_relation
s76.e2	s76.e1	effect
s77.e2	s77.e1	no_relation
s78.e2	s78.e1	no_relation
s79.e2	s79.e1	no_relation
s80.e1	s80.e2	no_relation
s81.e2	s81.e1	no_relation
s82.e2	s82.e1	no_relation
s83.e1	s83.e2	effect
s84.e2	s84.e1	effect
s85.e2	s85.e1	effect
s86.e1	s86.e2	no_relation
s88.e2	s88.e1	no_relation
s89.e1	s89.e2	no_relation
s90.e2	s90.e1	no_relation
s91.e2	s91.e1	no_relation
s92.e2	s92.e1	no_relation
s93.e2	s93.e1	no_relation
s94.e2	s94.e1	no_relation
s95.e2	s95.e1	no_relation
s96.e2	s96.e1	no_relation
s97.e2	s97.e1	effect
s98.e1	s98.e2	no_relation
s99.e2	s99.e1	no_relation
s100.e2	s100.e1	no_relation
s101.e1	s101.e2	effect
s102.e1	s102.e2	no_relation
s103.e1	s103.e2	no_relation
s104.e2	s104.e1	effect
s105.e2	s105.e1	effect
s106.e2	s106.e1	no_relation
s107.e2	s107.e1	effect
s109.e2	s109.e1	no_relation
s110.e1	s110.e2	no_relation
s111.e2	s111.e1	no_relation
s112.e1	s112.e2	no_relation
s113.e2	s113.e1	no_relation
s114.e2	s114.e1	no_relation
s115.e2	s115.e1	no_relation
s116.e1	s116.e2	no_relation
s117.e2	s117.e1	no_relation
s118.e2	s118.e1	no_relation
